name,canonical_name,target_type
Hyderabad,"Hyderabad,Telangana,India",City
Nellore,"Nellore,Andhra Pradesh,India",City
Vijayawada,"Vijayawada,Andhra Pradesh,India",City
Visakhapatnam,"Visakhapatnam,Andhra Pradesh,India",City
Warangal,"Warangal,Telangana,India",City
Guwahati,"Guwahati,Assam,India",City
Silchar,"Silchar,Assam,India",City
Dhanbad,"Dhanbad,Jharkhand,India",City
Jamshedpur,"Jamshedpur,Jharkhand,India",City
Patna,"Patna,Bihar,India",City
New Delhi,"New Delhi,Delhi,India",City
Ahmedabad,"Ahmedabad,Gujarat,India",City
Anand,"Anand,Gujarat,India",City
Bharuch,"Bharuch,Gujarat,India",City
Gandhinagar,"Gandhinagar,Gujarat,India",City
Jamnagar,"Jamnagar,Gujarat,India",City
Rajkot,"Rajkot,Gujarat,India",City
Surat,"Surat,Gujarat,India",City
Vadodara,"Vadodara,Gujarat,India",City
Valsad,"Valsad,Gujarat,India",City
Faridabad,"Faridabad,Haryana,India",City
Gurgaon,"Gurgaon,Haryana,India",City
Panipat,"Panipat,Haryana,India",City
Srinagar,"Srinagar,Jammu and Kashmir,India",City
Bengaluru,"Bengaluru,Karnataka,India",City
Belgaum,"Belgaum,Karnataka,India",City
Dharwad,"Dharwad,Karnataka,India",City
Mangaluru,"Mangaluru,Karnataka,India",City
Mysuru,"Mysuru,Karnataka,India",City
Shivamogga,"Shivamogga,Karnataka,India",City
Kochi,"Kochi,Kerala,India",City
Kottayam,"Kottayam,Kerala,India",City
Kozhikode,"Kozhikode,Kerala,India",City
Thiruvananthapuram,"Thiruvananthapuram,Kerala,India",City
Aurangabad,"Aurangabad,Maharashtra,India",City
Kolhapur,"Kolhapur,Maharashtra,India",City
Mahape,"Mahape,Maharashtra,India",City
Mumbai,"Mumbai,Maharashtra,India",City
Nagpur,"Nagpur,Maharashtra,India",City
Nanded,"Nanded,Maharashtra,India",City
Pune,"Pune,Maharashtra,India",City
Sangli,"Sangli,Maharashtra,India",City
Solapur,"Solapur,Maharashtra,India",City
Shillong,"Shillong,Meghalaya,India",City
Bhopal,"Bhopal,Madhya Pradesh,India",City
Bilaspur,"Bilaspur,Chhattisgarh,India",City
Durg,"Durg,Chhattisgarh,India",City
Gwalior,"Gwalior,Madhya Pradesh,India",City
Indore,"Indore,Madhya Pradesh,India",City
Jabalpur,"Jabalpur,Madhya Pradesh,India",City
Bhubaneswar,"Bhubaneswar,Odisha,India",City
Amritsar,"Amritsar,Punjab,India",City
Chandigarh,"Chandigarh,Chandigarh,India",City
Ludhiana,"Ludhiana,Punjab,India",City
Sangrur,"Sangrur,Punjab,India",City
Puducherry,"Puducherry,Puducherry,India",City
Jaipur,"Jaipur,Rajasthan,India",City
Kota,"Kota,Rajasthan,India",City
Udaipur,"Udaipur,Rajasthan,India",City
Chennai,"Chennai,Tamil Nadu,India",City
Coimbatore,"Coimbatore,Tamil Nadu,India",City
Erode,"Erode,Tamil Nadu,India",City
Madurai,"Madurai,Tamil Nadu,India",City
Sivakasi,"Sivakasi,Tamil Nadu,India",City
Thanjavur,"Thanjavur,Tamil Nadu,India",City
Vellore,"Vellore,Tamil Nadu,India",City
Agartala,"Agartala,Tripura,India",City
Allahabad,"Allahabad,Uttar Pradesh,India",Municipality
Dehradun,"Dehradun,Uttarakhand,India",City
Ghaziabad,"Ghaziabad,Uttar Pradesh,India",City
Haldwani,"Haldwani,Uttarakhand,India",City
Haridwar,"Haridwar,Uttarakhand,India",City
Kanpur,"Kanpur,Uttar Pradesh,India",City
Lucknow,"Lucknow,Uttar Pradesh,India",City
Mathura,"Mathura,Uttar Pradesh,India",City
Noida,"Noida,Uttar Pradesh,India",City
Varanasi,"Varanasi,Uttar Pradesh,India",City
Kolkata,"Kolkata,West Bengal,India",City
Kharagpur,"Kharagpur,West Bengal,India",City
Andaman and Nicobar Islands,"Andaman and Nicobar Islands,India",Union Territory
Andhra Pradesh,"Andhra Pradesh,India",State
Assam,"Assam,India",State
Bihar,"Bihar,India",State
Delhi,"Delhi,India",Union Territory
Gujarat,"Gujarat,India",State
Haryana,"Haryana,India",State
Jammu and Kashmir,"Jammu and Kashmir,India",State
Karnataka,"Karnataka,India",State
Kerala,"Kerala,India",State
Maharashtra,"Maharashtra,India",State
Meghalaya,"Meghalaya,India",State
Madhya Pradesh,"Madhya Pradesh,India",State
Odisha,"Odisha,India",State
Punjab,"Punjab,India",State
Puducherry,"Puducherry,India",Union Territory
Rajasthan,"Rajasthan,India",State
Tamil Nadu,"Tamil Nadu,India",State
Tripura,"Tripura,India",State
Uttar Pradesh,"Uttar Pradesh,India",State
West Bengal,"West Bengal,India",State
Goa,"Goa,India",State
Arunachal Pradesh,"Arunachal Pradesh,India",State
Chhattisgarh,"Chhattisgarh,India",State
Himachal Pradesh,"Himachal Pradesh,India",State
Jharkhand,"Jharkhand,India",State
Manipur,"Manipur,India",State
Mizoram,"Mizoram,India",State
Nagaland,"Nagaland,India",State
Sikkim,"Sikkim,India",State
Uttarakhand,"Uttarakhand,India",State
Chandigarh,"Chandigarh,India",Union Territory
Dadra and Nagar Haveli,"Dadra and Nagar Haveli,India",Union Territory
Daman and Diu,"Daman and Diu,India",Union Territory
Lakshadweep,"Lakshadweep,India",Union Territory
Tezpur,"Tezpur,Assam,India",City
Imphal,"Imphal,Manipur,India",City
Shimla,"Shimla,Himachal Pradesh,India",City
Moradabad,"Moradabad,Uttar Pradesh,India",City
Meerut,"Meerut,Uttar Pradesh,India",City
Sonipat,"Sonipat,Haryana,India",City
Karnal,"Karnal,Haryana,India",City
Roorkee,"Roorkee,Uttarakhand,India",City
Patiala,"Patiala,Punjab,India",City
Pilani,"Pilani,Rajasthan,India",City
Jalandhar,"Jalandhar,Punjab,India",City
Kangra,"Kangra,Himachal Pradesh,India",City
Jammu,"Jammu,Jammu and Kashmir,India",City
Jodhpur,"Jodhpur,Rajasthan,India",City
Nadiad,"Nadiad,Gujarat,India",City
Bhavnagar,"Bhavnagar,Gujarat,India",City
Ajmer,"Ajmer,Rajasthan,India",City
Alwar,"Alwar,Rajasthan,India",City
Agra,"Agra,Uttar Pradesh,India",City
Aligarh,"Aligarh,Uttar Pradesh,India",City
Jhansi,"Jhansi,Uttar Pradesh,India",City
Sagar,"Sagar,Madhya Pradesh,India",City
Satna,"Satna,Madhya Pradesh,India",City
Gorakhpur,"Gorakhpur,Uttar Pradesh,India",City
Bareilly,"Bareilly,Uttar Pradesh,India",City
Siliguri,"Siliguri,West Bengal,India",City
Bokaro Steel City,"Bokaro Steel City,Jharkhand,India",City
Ranchi,"Ranchi,Jharkhand,India",City
Durgapur,"Durgapur,West Bengal,India",City
Bardhaman,"Bardhaman,West Bengal,India",City
Cuttack,"Cuttack,Odisha,India",City
Rourkela,"Rourkela,Odisha,India",City
Sambalpur,"Sambalpur,Odisha,India",City
Raipur,"Raipur,Chhattisgarh,India",City
Bhilai,"Bhilai,Chhattisgarh,India",City
Eluru,"Eluru,Andhra Pradesh,India",City
Rajahmundry,"Rajahmundry,Andhra Pradesh,India",City
Kakinada,"Kakinada,Andhra Pradesh,India",City
Brahmapur,"Brahmapur,Odisha,India",City
Guntur,"Guntur,Andhra Pradesh,India",City
Tirupati,"Tirupati,Andhra Pradesh,India",City
Sembakkam,"Sembakkam,Tamil Nadu,India",Neighborhood
Irumbuliyur,"Irumbuliyur,Tamil Nadu,India",Neighborhood
Virudhunagar,"Virudhunagar,Tamil Nadu,India",City
Tirunelveli,"Tirunelveli,Tamil Nadu,India",City
Kollam,"Kollam,Kerala,India",City
Mavelikara,"Mavelikara,Kerala,India",City
Ernakulam,"Ernakulam,Kerala,India",City
Alappuzha,"Alappuzha,Kerala,India",City
Kannur,"Kannur,Kerala,India",City
Thrissur,"Thrissur,Kerala,India",City
Palakkad,"Palakkad,Kerala,India",City
Tiruchirappalli,"Tiruchirappalli,Tamil Nadu,India",City
Salem,"Salem,Tamil Nadu,India",City
Chittoor,"Chittoor,Andhra Pradesh,India",City
Hosur,"Hosur,Tamil Nadu,India",City
Anantapur,"Anantapur,Andhra Pradesh,India",City
Kurnool,"Kurnool,Andhra Pradesh,India",City
Ballari,"Ballari,Karnataka,India",City
Hubballi,"Hubballi,Karnataka,India",City
Manipal,"Manipal,Karnataka,India",City
Margao,"Margao,Goa,India",City
Panaji,"Panaji,Goa,India",City
Vasco da Gama,"Vasco da Gama,Goa,India",City
Pimpri-Chinchwad,"Pimpri-Chinchwad,Maharashtra,India",City
Vijayapura,"Vijayapura,Karnataka,India",City
Secunderabad,"Secunderabad,Telangana,India",City
Karimnagar,"Karimnagar,Telangana,India",City
Latur,"Latur,Maharashtra,India",City
Jalgaon,"Jalgaon,Maharashtra,India",Municipality
Nashik,"Nashik,Maharashtra,India",City
Dhule,"Dhule,Maharashtra,India",City
Vapi,"Vapi,Gujarat,India",City
Ambernath,"Ambernath,Maharashtra,India",City
Ulhasnagar,"Ulhasnagar,Maharashtra,India",City
Dombivli,"Dombivli,Maharashtra,India",City
Kalyan,"Kalyan,Maharashtra,India",City
Virar,"Virar,Maharashtra,India",City
Vasai,"Vasai,Maharashtra,India",Municipality
Mira Bhayandar,"Mira Bhayandar,Maharashtra,India",City
Thane,"Thane,Maharashtra,India",City
Navi Mumbai,"Navi Mumbai,Maharashtra,India",City
Chhatrapati Shivaji International Airport,"Chhatrapati Shivaji International Airport,Maharashtra,India",Airport
HAL Bangalore International Airport,"HAL Bangalore International Airport,Karnataka,India",Airport
Sardar Vallabhbhai Patel International Airport,"Sardar Vallabhbhai Patel International Airport,Gujarat,India",Airport
Vadodara Airport,"Vadodara Airport,Gujarat,India",Airport
Netaji Subhash Chandra Bose International Airport,"Netaji Subhash Chandra Bose International Airport,West Bengal,India",Airport
Indira Gandhi International Airport,"Indira Gandhi International Airport,Delhi,India",Airport
Rajiv Gandhi International Airport,"Rajiv Gandhi International Airport,Telangana,India",Airport
Jaipur International Airport,"Jaipur International Airport,Rajasthan,India",Airport
Chennai International Airport,"Chennai International Airport,Tamil Nadu,India",Airport
Pune Airport,"Pune Airport,Maharashtra,India",Airport
Ambala Cantt,"Ambala Cantt,Haryana,India",City
Angul,"Angul,Odisha,India",City
Ankleshwar,"Ankleshwar,Gujarat,India",City
Baddi,"Baddi,Himachal Pradesh,India",City
Badlapur,"Badlapur,Maharashtra,India",City
Barnala,"Barnala,Punjab,India",City
Bathinda,"Bathinda,Punjab,India",City
Bhimavaram,"Bhimavaram,Andhra Pradesh,India",City
Bhiwandi,"Bhiwandi,Maharashtra,India",City
Bhuj,"Bhuj,Gujarat,India",City
Bikaner,"Bikaner,Rajasthan,India",City
Boisar,"Boisar,Maharashtra,India",City
Chengannur,"Chengannur,Kerala,India",City
Dharamshala,"Dharamshala,Himachal Pradesh,India",City
Dibrugarh,"Dibrugarh,Assam,India",City
Dindigul,"Dindigul,Tamil Nadu,India",City
Malda,"Malda,West Bengal,India",City
Ferozepur,"Ferozepur,Punjab,India",City
Gandhidham,"Gandhidham,Gujarat,India",City
Girinagar,"Girinagar,Maharashtra,India",City
Greater Noida,"Greater Noida,Uttar Pradesh,India",City
Kalaburagi,"Kalaburagi,Karnataka,India",City
Hisar,"Hisar,Haryana,India",City
Hoshiarpur,"Hoshiarpur,Punjab,India",City
Hosapete,"Hosapete,Karnataka,India",City
Howrah,"Howrah,West Bengal,India",City
Jharsuguda,"Jharsuguda,Odisha,India",City
Kakkanad,"Kakkanad,Kerala,India",City
Karaikudi,"Karaikudi,Tamil Nadu,India",City
Karur,"Karur,Tamil Nadu,India",City
Khammam,"Khammam,Telangana,India",City
Korba,"Korba,Chhattisgarh,India",City
Kurukshetra,"Kurukshetra,Haryana,India",City
Mehsana,"Mehsana,Gujarat,India",City
Sahibzada Ajit Singh Nagar,"Sahibzada Ajit Singh Nagar,India",City
Mullana,"Mullana,Haryana,India",City
Nagercoil,"Nagercoil,Tamil Nadu,India",City
Namakkal,"Namakkal,Tamil Nadu,India",City
Navsari,"Navsari,Gujarat,India",City
Nizamabad,"Nizamabad,Telangana,India",City
Ongole,"Ongole,Andhra Pradesh,India",City
Pathanamthitta,"Pathanamthitta,Kerala,India",City
Purnea,"Purnea,Bihar,India",City
Raigarh,"Raigarh,Chhattisgarh,India",City
Raysan,"Raysan,Gujarat,India",City
Rishikesh,"Rishikesh,Uttarakhand,India",City
Rohtak,"Rohtak,Haryana,India",City
Rudrapur,"Rudrapur,Uttarakhand,India",City
Samastipur,"Samastipur,Bihar,India",City
Satara,"Satara,Maharashtra,India",City
Tiruppur,"Tiruppur,Tamil Nadu,India",City
Thoothukudi,"Thoothukudi,Tamil Nadu,India",City
Udupi,"Udupi,Karnataka,India",City
Unnao,"Unnao,Uttar Pradesh,India",City
Yamuna Nagar,"Yamuna Nagar,Haryana,India",City
Telangana,"Telangana,India",State
Hampi,"Hampi,Karnataka,India",City
Khanna,"Khanna,Punjab,India",City
Gokul Shirgaon,"Gokul Shirgaon,Maharashtra,India",City
Chadasna,"Chadasna,Gujarat,India",City
Bagaveli,"Bagaveli,Tamil Nadu,India",City
Barshi,"Barshi,Pune Division,Maharashtra,India",City
Kolar Gold Fields,"Kolar Gold Fields,Karnataka,India",City
Kilmudalambedu,"Kilmudalambedu,Tamil Nadu,India",City
Ola,"Ola,Gujarat,India",City
Doddaballapura,"Doddaballapura,Karnataka,India",City
Alathur,"Alathur,Kerala,India",City
Mulanthuruthy,"Mulanthuruthy,Kerala,India",City
Pali,"Pali,Haryana,India",City
Burgul,"Burgul,Telangana,India",City
Pimpalgaon Baswant,"Pimpalgaon Baswant,Maharashtra,India",City
Mayiladuthurai,"Mayiladuthurai,Tamil Nadu,India",City
Neral,"Neral,Maharashtra,India",City
Saeo Patti Banger,"Saeo Patti Banger,Uttar Pradesh,India",City
Kandi,"Kandi,Telangana,India",City
Chowttahalli,"Chowttahalli,Tamil Nadu,India",City
Pithampur,"Pithampur,Madhya Pradesh,India",City
Satauli,"Satauli,Uttar Pradesh,India",City
Kasurdi,"Kasurdi,Maharashtra,India",City
Ratnagiri,"Ratnagiri,Maharashtra,India",City
Mamandur,"Mamandur,Tamil Nadu,India",City
Hindaun,"Hindaun,Rajasthan,India",City
Pargaon,"Pargaon,Maharashtra,India",City
Karaipudur,"Karaipudur,Tamil Nadu,India",City
Theekariya,"Theekariya,Rajasthan,India",City
Kartarpur,"Kartarpur,Punjab,India",City
Chittaranjan,"Chittaranjan,West Bengal,India",City
Churu,"Churu,Rajasthan,India",City
Luharli 139 Basantpur Bangar,"Luharli 139 Basantpur Bangar,Uttar Pradesh,India",City
Cuddalore,"Cuddalore,Tamil Nadu,India",City
Kesra,"Kesra,Gujarat,India",City
Delhi,"Delhi,Delhi,India",City
Ravulapalem,"Ravulapalem,Andhra Pradesh,India",City
Jejuri,"Jejuri,Maharashtra,India",City
Nerul,"Nerul,Goa,India",City
Mirpur,"Mirpur,Punjab,India",City
Tatarpur,"Tatarpur,Uttar Pradesh,India",City
Dodka,"Dodka,Gujarat,India",City
Auraiya,"Auraiya,Uttar Pradesh,India",City
Mettathur,"Mettathur,Tamil Nadu,India",City
Kayamkulam,"Kayamkulam,Kerala,India",City
Thenhipalam,"Thenhipalam,Kerala,India",City
Vaikundam,"Vaikundam,Tamil Nadu,India",City
Haripad,"Haripad,Kerala,India",City
Perumbairkandigai,"Perumbairkandigai,Tamil Nadu,India",City
Halvad,"Halvad,Gujarat,India",City
Ojhar,"Ojhar,Maharashtra,India",City
Umbraj,"Umbraj,Maharashtra,India",City
Sokhada,"Sokhada,Gujarat,India",City
Ten,"Ten,Maharashtra,India",City
Macharam,"Macharam,Telangana,India",City
Harishchandri,"Harishchandri,Maharashtra,India",City
Aikaranad South,"Aikaranad South,Kerala,India",City
Adoor,"Adoor,Kerala,India",City
Uruli Kanchan,"Uruli Kanchan,Maharashtra,India",City
Poiya,"Poiya,Uttar Pradesh,India",City
Perundurai,"Perundurai,Tamil Nadu,India",City
Kalipalayam,"Kalipalayam,Tamil Nadu,India",City
Nuniawal,"Nuniawal,Haryana,India",City
Benaulim,"Benaulim,Goa,India",City
Majorda,"Majorda,Goa,India",City
Varkala,"Varkala,Kerala,India",City
Garh Mukteshwar,"Garh Mukteshwar,Uttar Pradesh,India",City
Ramnagar,"Ramnagar,Gujarat,India",City
Shendre,"Shendre,Maharashtra,India",City
Motichur Range,"Motichur Range,Uttarakhand,India",City
Garhi Multan,"Garhi Multan,Haryana,India",City
Bapatla,"Bapatla,Andhra Pradesh,India",City
Nandurbar,"Nandurbar,Maharashtra,India",City
Motihari,"Motihari,Bihar,India",City
Panruti,"Panruti,Tamil Nadu,India",City
Samalkha,"Samalkha,Haryana,India",City
Moodadi,"Moodadi,Kerala,India",City
Kanniyakumari,"Kanniyakumari,Tamil Nadu,India",City
Saswad,"Saswad,Maharashtra,India",City
Kalikavundanpalayam,"Kalikavundanpalayam,Tamil Nadu,India",City
Orwad,"Orwad,Gujarat,India",City
Pali,"Pali,Maharashtra,India",City
Suratgarh,"Suratgarh,Rajasthan,India",City
Karamadai,"Karamadai,Tamil Nadu,India",City
Betul,"Betul,Madhya Pradesh,India",City
Rampura Dabri,"Rampura Dabri,Rajasthan,India",City
Vav,"Vav,Gujarat,India",City
Mudichur,"Mudichur,Tamil Nadu,India",City
Kolar,"Kolar,Karnataka,India",City
Adhe kh.,"Adhe kh.,Maharashtra,India",City
Javara,"Javara,Uttar Pradesh,India",City
Birjapur,"Birjapur,Uttar Pradesh,India",City
Baladare,"Baladare,Karnataka,India",City
Edamulackal,"Edamulackal,Kerala,India",City
Jamtha,"Jamtha,Maharashtra,India",City
Pallippuram,"Pallippuram,Kerala,India",City
Bankura,"Bankura,West Bengal,India",City
Barabanki,"Barabanki,Uttar Pradesh,India",City
Jetpur,"Jetpur,Gujarat,India",City
Sirsala,"Sirsala,Haryana,India",City
Marampally,"Marampally,Kerala,India",City
Lakhimpur,"Lakhimpur,Uttar Pradesh,India",City
Jhanghar,"Jhanghar,Gujarat,India",City
Oddanchatram,"Oddanchatram,Tamil Nadu,India",City
Handia,"Handia,Uttar Pradesh,India",City
